"title","name","start","end","value"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(백혜련의원 등 12인)","2018-01-05","2018-01-05","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(정춘숙의원 등 10인)","2017-12-29","2018-02-28","7"
"가정","  국가정보화 기본법 일부개정법률안(김병욱의원 등 15인)","2017-12-22","2017-12-22","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정춘숙의원 등 10인)","2017-12-22","2017-12-22","2"
"가정","  건강가정기본법 일부개정법률안(대안)","2017-12-21","2017-12-29","6"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(원유철의원 등 10인)","2017-12-18","2017-12-18","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(조배숙의원 등 10인)","2017-12-15","2017-12-15","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김수민의원 등 10인)","2017-12-15","2017-12-15","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신동근의원 등 16인)","2017-12-11","2017-12-11","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정춘숙의원 등 11인)","2017-12-05","2017-12-05","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이태규의원 등 11인)","2017-12-04","2017-12-04","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(권미혁의원 등 11인)","2017-12-01","2018-02-28","7"
"가정","  국가정보화 기본법 일부개정법률안(김수민의원 등 11인)","2017-11-28","2017-11-28","2"
"가정","  국가정보원 및 검찰 특수활동비 부정 유용 의혹 진상규명을 위한 특별검사의 임명 등에 관한 법률안(최교일의원 등 113인)","2017-11-27","2017-11-27","2"
"가정","  대통령 비서실, 국가정보원 및 검찰 특수활동비 부정 유용 의혹 진상규명을 위한 국정조사 요구(정우택의원 등 113인)","2017-11-24","2017-11-24","1"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(권미혁의원 등 11인)","2017-11-24","2017-11-24","2"
"가정","  국가정보원법 일부개정법률안(이태규의원 등 11인)","2017-11-24","2017-11-24","2"
"가정","  국가정보원법 일부개정법률안(김성태의원 등 10인)","2017-11-22","2017-11-22","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김삼화의원 등 12인)","2017-11-20","2017-11-20","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신창현의원 등 11인)","2017-11-17","2017-11-17","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박정의원 등 12인)","2017-11-17","2017-11-17","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(대안)","2017-11-08","2017-11-09","6"
"가정","  국가정보화 기본법 일부개정법률안(김경진의원 등 10인)","2017-09-29","2018-01-30","7"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김수민의원 등 12인)","2017-09-29","2017-09-29","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(인재근의원 등 14인)","2017-09-28","2017-09-28","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김수민의원 등 10인)","2017-09-25","2017-09-25","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박광온의원 등 10인)","2017-09-15","2017-09-15","2"
"가정","  국가정보화 기본법 일부개정법률안(하태경의원 등 11인)","2017-09-14","2017-09-14","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김수민의원 등 10인)","2017-09-12","2017-09-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(장정숙의원 등 11인)","2017-09-11","2017-09-11","2"
"가정","  국가정보원법 일부개정법률안(이원욱의원 등 10인)","2017-09-05","2017-09-05","2"
"가정","  건강가정기본법 일부개정법률안(신용현의원 등 24인)","2017-09-04","2017-12-29","7"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(이용득의원 등 28인)","2017-08-29","2017-11-09","7"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안","2017-08-28","2018-02-20","6"
"가정","  건강가정기본법 일부개정법률안","2017-08-21","2017-12-29","7"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(양승조의원 등 10인)","2017-08-17","2017-08-17","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(정춘숙의원 등 13인)","2017-08-11","2017-08-11","2"
