"title","name","start","end","value"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(노웅래의원 등 12인)","2017-11-22","2017-11-22","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박정의원 등 12인)","2017-11-17","2017-11-17","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(표창원의원 등 12인)","2017-11-16","2017-11-16","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(남인순의원 등 10인)","2017-11-08","2018-11-29","7"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(남인순의원 등 10인)","2017-11-08","2018-02-20","7"
"폭력","  데이트폭력범죄 처벌 등에 관한 특례법안(신보라의원 등 11인)","2017-11-01","2017-11-01","2"
"폭력","  데이트폭력방지 및 피해자보호 등에 관한 법률안(신보라의원 등 13인)","2017-11-01","2017-11-01","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(전해철의원 등 10인)","2017-10-10","2018-02-20","7"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(김삼화의원 등 10인)","2017-09-29","2017-09-29","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(홍의락의원 등 10인)","2017-09-29","2017-09-29","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(박홍근의원 등 10인)","2017-09-28","2017-09-28","2"
"폭력","  성폭력범죄자의 성충동 약물치료에 관한 법률 일부개정법률안(박홍근의원 등 10인)","2017-09-28","2017-09-28","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박남춘의원 등 13인)","2017-09-14","2017-09-14","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(이정미의원 등 10인)","2017-09-14","2017-09-14","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박대출의원 등 15인)","2017-09-13","2017-09-13","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(유승희의원 등 12인)","2017-09-13","2017-09-13","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(백혜련의원 등 10인)","2017-09-11","2017-09-11","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정성호의원 등 11인)","2017-09-07","2017-09-07","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(유동수의원 등 12인)","2017-09-07","2017-09-07","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(이양수의원 등 12인)","2017-09-07","2017-09-07","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김상희의원 등 12인)","2017-09-05","2017-09-05","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이재정의원 등 10인)","2017-09-04","2017-09-04","2"
"폭력","  폭력행위 등 처벌에 관한 법률 일부개정법률안(표창원의원 등 16인)","2017-08-30","2017-08-30","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안","2017-08-28","2018-02-20","7"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안","2017-08-28","2018-02-20","6"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(홍의락의원 등 14인)","2017-08-10","2017-08-10","2"
"폭력","  데이트폭력 등 관계집착 폭력행위의 방지 및 피해자 보호에 관한 법률안(표창원의원 등 24인)","2017-08-08","2017-08-08","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박광온의원 등 10인)","2017-08-02","2017-08-02","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(박광온의원 등 10인)","2017-08-02","2017-08-02","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(황주홍의원 등 10인)","2017-08-01","2017-08-01","2"
"폭력","  성폭력범죄자의 성충동 약물치료에 관한 법률 일부개정법률안","2017-07-26","2017-12-01","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이정현의원 등 10인)","2017-07-20","2017-11-24","7"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(김철민의원 등 11인)","2017-07-20","2017-07-20","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(유재중의원 등 10인)","2017-07-14","2017-07-14","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(진선미의원 등 14인)","2017-07-11","2017-07-11","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(백혜련의원 등 12인)","2017-07-04","2017-07-04","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(윤호중의원 등 14인)","2017-06-29","2017-11-24","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(윤상현의원 등 11인)","2017-06-28","2017-06-28","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박인숙의원 등 10인)","2017-06-28","2017-06-28","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김삼화의원 등 15인)","2017-06-23","2017-06-23","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(손금주의원 등 12인)","2017-06-22","2017-06-22","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(강창일의원 등 10인)","2017-06-02","2017-06-02","2"
